ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000519.SZ,19950906,3.3354,3.3354,3.277,3.3187,3.3104,0.008300000000000196,0.2507,606.0,240.168
000519.SZ,19950905,3.3771,3.3771,3.302,3.3104,3.327,-0.016599999999999948,-0.4989,654.0,260.384
000519.SZ,19950904,3.4021,3.4021,3.302,3.327,3.3187,0.008299999999999752,0.2501,1033.0,412.501
000519.SZ,19950831,3.2937,3.4188,3.2937,3.3187,3.2937,0.025000000000000355,0.759,1115.0,444.012
000519.SZ,19950830,3.3437,3.3938,3.277,3.2937,3.3521,-0.05840000000000023,-1.7422,1774.0,706.624
000519.SZ,19950829,3.3604,3.5272,3.3521,3.3521,3.3604,-0.008299999999999752,-0.247,2256.0,945.193
000519.SZ,19950828,3.4188,3.4188,3.3354,3.3604,3.4855,-0.1251000000000002,-3.5892,1370.0,554.845
000519.SZ,19950825,3.5188,3.5188,3.4688,3.4855,3.4688,0.01670000000000016,0.4814,2015.0,843.058
000519.SZ,19950824,3.6106,3.6106,3.4688,3.4688,3.6106,-0.14179999999999993,-3.9273,2482.0,1052.458
000519.SZ,19950823,3.5022,3.7523,3.4188,3.6106,3.5022,0.10839999999999961,3.0952,3496.0,1486.412
000519.SZ,19950822,3.5605,3.5605,3.4855,3.5022,3.5605,-0.05830000000000002,-1.6374,3123.0,1318.449
000519.SZ,19950821,3.6856,3.7023,3.5188,3.5605,3.6856,-0.12509999999999977,-3.3943,6924.0,3001.267
000519.SZ,19950818,3.6439,3.7273,3.5522,3.6856,3.6439,0.04170000000000007,1.1444,13309.0,5830.826
000519.SZ,19950817,3.5689,3.7106,3.5522,3.6439,3.5689,0.07499999999999973,2.1015,9041.0,3909.464
000519.SZ,19950816,3.5022,3.6022,3.5022,3.5689,3.6106,-0.041699999999999626,-1.1549,3948.0,1682.696
000519.SZ,19950815,3.7356,3.7356,3.5689,3.6106,3.7356,-0.125,-3.3462,8239.0,3556.961
000519.SZ,19950814,3.4438,4.0025,3.4438,3.7356,3.5438,0.19179999999999975,5.4123,19617.0,8771.542
000519.SZ,19950811,3.4188,3.5855,3.4188,3.5438,3.4521,0.09169999999999989,2.6564,6914.0,2922.576
000519.SZ,19950810,3.4605,3.4938,3.4271,3.4521,3.4605,-0.008399999999999963,-0.2427,2117.0,875.95
000519.SZ,19950809,3.5022,3.5022,3.4188,3.4605,3.4938,-0.03329999999999966,-0.9531,1732.0,713.425
000519.SZ,19950808,3.5022,3.5855,3.4438,3.4938,3.5272,-0.03340000000000032,-0.9469,3540.0,1489.032
000519.SZ,19950807,3.4521,3.5272,3.4021,3.5272,3.4438,0.08340000000000014,2.4217,1678.0,698.877
000519.SZ,19950803,3.4271,3.4605,3.4188,3.4438,3.4188,0.02499999999999991,0.7313,700.0,288.882
000519.SZ,19950802,3.5022,3.5272,3.4188,3.4188,3.4771,-0.05830000000000002,-1.6767,1540.0,641.45
000519.SZ,19950801,3.4938,3.4938,3.4188,3.4771,3.4605,0.016599999999999948,0.4797,1414.0,586.29
000519.SZ,19950731,3.4605,3.4938,3.4354,3.4605,3.4605,0.0,0.0,410.0,170.157
000519.SZ,19950728,3.4771,3.4938,3.4521,3.4605,3.4938,-0.03329999999999966,-0.9531,859.0,357.075
